Strike ID,Date,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_3
Ob70,15/02/2010,Tappi,North Waziristan,4,5,0,0,0,0,0,0,Unknown
Ob71,17/02/2010,Tabbi,North Waziristan,4,4,0,0,0,0,2,3,Unknown
Ob72,18/02/2010,Danda Darpakhel,North Waziristan,3,5,0,0,0,0,4,4,Unknown
Ob73,24/02/2010,Darga Mandi,North Waziristan,5,13,5,6,1,1,6,6,Unknown
Ob74,08/03/2010,Miram Shah,North Waziristan,9,9,0,0,0,0,2,2,Unknown
Ob75,10/03/2010,Mizar Madakhel,North Waziristan,7,8,0,0,0,0,12,12,Unknown
Ob76,10/03/2010,Mizar Madakhel,North Waziristan,7,7,4,7,0,0,0,0,Unknown
Ob77,16/03/2010,Datta Khel,North Waziristan,7,11,0,0,0,0,2,2,Unknown
Ob78,17/03/2010,Hamzoni,North Waziristan,3,5,0,0,0,0,4,4,Unknown
Ob79,17/03/2010,Mizar Madakhel,North Waziristan,5,5,0,0,0,0,0,0,Unknown
Ob80,21/03/2010,Inzar,North Waziristan,5,8,0,0,0,0,0,0,Unknown
Ob81,23/03/2010,Machis,North Waziristan,6,6,0,0,0,0,3,3,Unknown
Ob82,27/03/2010,Hurmuz,North Waziristan,4,4,0,4,0,0,5,5,Unknown
Ob83,31/03/2010,Tappi,North Waziristan,5,6,5,6,1,1,2,2,Unknown
Ob84,12/04/2010,Boya,North Waziristan,13,13,8,13,2,2,2,3,Unknown
Ob85,14/04/2010,Ambar Shaga,North Waziristan,4,5,0,0,0,0,1,3,Unknown
Ob86,16/04/2010,Toorikhel,North Waziristan,3,4,0,0,0,0,2,2,Unknown
Ob87,24/04/2010,Machi Khel,North Waziristan,7,9,0,0,0,0,0,0,Unknown
Ob88,26/04/2010,Khushali,North Waziristan,3,8,0,0,0,0,3,3,Unknown
